PartNumber,Description,Value,DCR_Ohm,AWG,Type,URL,Price
Jantzen Audio 000-0928,"Jantzen Audio 000-0928 | 0,12 mH | 0,12 Ω | 3% | 17 AWG",0.12,0.12,17.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-0928.html,7.45
Jantzen Audio 000-1543,"Jantzen Audio 000-1543 | 0,12 mH | 0,09 Ω | 3% | 15 AWG",0.12,0.09,15.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1543.html,8.95
Jantzen Audio 000-L-0012,"Jantzen Audio 000-L-0012 | 0,12 mH | 0,10 Ω | 3% | 15 AWG",0.12,0.1,15.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-l-0012.html,10.45
Intertechnik LUT32/012/10,"Intertechnik LUT32/012/10 | 0,12 mH | 0,19 Ω | 3% | 18 AWG",0.12,0.19,18.0,Air Core,https://www.soundimports.eu/en/it-intertechnik-lut32-012-10.html,10.45
Intertechnik LU44/012/100,"Intertechnik LU44/012/100 | 0,12 mH | 0,16 Ω | 3% | 18 AWG",0.12,0.16,18.0,Air Core,https://www.soundimports.eu/en/it-intertechnik-lu44-012-100.html,11.45
Intertechnik LU55/012/140,"Intertechnik LU55/012/140 | 0,12 mH | 0,09 Ω | 3% | 15 AWG",0.12,0.09,15.0,Air Core,https://www.soundimports.eu/en/it-intertechnik-lu55-012-140.html,13.46
Jantzen Audio 000-0103,"Jantzen Audio 000-0103 | 0,12 mH | 0,07 Ω | 3% | 13 AWG",0.12,0.07,13.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-0103.html,14.45
"Mundorf CFC16-0,12","Mundorf CFC16-0,12 | 0,12 mH | 0,11 Ω | 2% | 16,5 AWG",0.12,0.11,16.5,Air Core,https://www.soundimports.eu/en/mundorf-cfc16-012.html,18.95
Jantzen Audio 000-7624,"Jantzen Audio 000-7624 | 0,12 mH | 0,11 Ω | 2% | 16 AWG",0.12,0.11,16.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-7624.html,19.44
Jantzen Audio 000-8525,"Jantzen Audio 000-8525 | 0,12 mH | 0,11 Ω | 2% | 16 AWG",0.12,0.11,16.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-8525.html,19.95
Intertechnik LU62/012/200,"Intertechnik LU62/012/200 | 0,12 mH | 0,05 Ω | 3% | 12 AWG",0.12,0.05,12.0,Air Core,https://www.soundimports.eu/en/it-intertechnik-lu62-012-200.html,21.95
Jantzen Audio 000-7284,"Jantzen Audio 000-7284 | 0,12 mH | 0,08 Ω | 2% | 14 AWG",0.12,0.08,14.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-7284.html,23.95
"Mundorf CFC14-0,12","Mundorf CFC14-0,12 | 0,12 mH | 0,08 Ω | 2% | 14 AWG",0.12,0.08,14.0,Air Core,https://www.soundimports.eu/en/mundorf-cfc14-012.html,25.95
Jantzen Audio 000-8012,"Jantzen Audio 000-8012 | 0,12 mH | 0,06 Ω | 2% | 12 AWG",0.12,0.06,12.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-8012.html,36.45
Dayton Audio LW18-13,Dayton Audio LW18-13 | 0.13 mH | 0.16 Ω | 5% | 18 AWG,0.13,0.16,18.0,Air Core,https://www.soundimports.eu/en/dayton-audio-lw18-13.html,4.45
Jantzen Audio 000-1965,"Jantzen Audio 000-1965 | 0,13 mH | 0,16 Ω | 3% | 18 AWG",0.13,0.16,18.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1965.html,6.45
Jantzen Audio 000-7626,"Jantzen Audio 000-7626 | 0,13 mH | 0,11 Ω | 2% | 16 AWG",0.13,0.11,16.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-7626.html,20.45
Jantzen Audio 000-80135,"Jantzen Audio 000-80135 | 0,135 mH | 0,06 Ω | 2% | 12 AWG",0.135,0.06,12.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-80135.html,37.95
