PartNumber,Description,Value,DCR_Ohm,AWG,Type,URL,Price
"Mundorf L100-0,12","Mundorf L100-0,12 | 0,12 mH | 0,15 Ω | 2% | 18 AWG",0.12,0.15,18.0,Air Core,https://www.soundimports.eu/en/mundorf-l100-012.html,5.99
Jantzen Audio 000-0928,"Jantzen Audio 000-0928 | 0,12 mH | 0,12 Ω | 3% | 17 AWG",0.12,0.12,17.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-0928.html,6.16
Jantzen Audio 000-1543,"Jantzen Audio 000-1543 | 0,12 mH | 0,09 Ω | 3% | 15 AWG",0.12,0.09,15.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1543.html,7.4
Jantzen Audio 000-L-0012,"Jantzen Audio 000-L-0012 | 0,12 mH | 0,10 Ω | 3% | 15 AWG",0.12,0.1,15.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-l-0012.html,8.64
Intertechnik LUT32/012/10,"Intertechnik LUT32/012/10 | 0,12 mH | 0,19 Ω | 3% | 18 AWG",0.12,0.19,18.0,Air Core,https://www.soundimports.eu/en/it-intertechnik-lut32-012-10.html,8.64
Intertechnik LU44/012/100,"Intertechnik LU44/012/100 | 0,12 mH | 0,16 Ω | 3% | 18 AWG",0.12,0.16,18.0,Air Core,https://www.soundimports.eu/en/it-intertechnik-lu44-012-100.html,9.46
Intertechnik LU55/012/140,"Intertechnik LU55/012/140 | 0,12 mH | 0,09 Ω | 3% | 15 AWG",0.12,0.09,15.0,Air Core,https://www.soundimports.eu/en/it-intertechnik-lu55-012-140.html,11.12
Jantzen Audio 000-0103,"Jantzen Audio 000-0103 | 0,12 mH | 0,07 Ω | 3% | 13 AWG",0.12,0.07,13.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-0103.html,11.94
"Mundorf CFC16-0,12","Mundorf CFC16-0,12 | 0,12 mH | 0,11 Ω | 2% | 16,5 AWG",0.12,0.11,16.5,Air Core,https://www.soundimports.eu/en/mundorf-cfc16-012.html,15.66
Jantzen Audio 000-7624,"Jantzen Audio 000-7624 | 0,12 mH | 0,11 Ω | 2% | 16 AWG",0.12,0.11,16.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-7624.html,16.07
Intertechnik CO30/012/090,"Intertechnik CO30/012/090 | 0,12 mH | 0,11 Ω | 5% | 19 AWG",0.12,0.11,19.0,Air Core,https://www.soundimports.eu/en/it-intertechnik-co30-012-090.html,16.49
Jantzen Audio 000-8525,"Jantzen Audio 000-8525 | 0,12 mH | 0,11 Ω | 2% | 16 AWG",0.12,0.11,16.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-8525.html,16.49
Intertechnik LU62/012/200,"Intertechnik LU62/012/200 | 0,12 mH | 0,05 Ω | 3% | 12 AWG",0.12,0.05,12.0,Air Core,https://www.soundimports.eu/en/it-intertechnik-lu62-012-200.html,18.14
