PartNumber,Description,Value,Tolerance_pct,Voltage_V,Type,URL,Price
Mundorf MLGO+63-15000,Mundorf MLGO+63-15000 | 15000 µF | 20% | 63 V,15000.0,20.0,63.0,Film Capacitor,https://www.soundimports.eu/en/mundorf-mlgo63-15000-161850670.html,37.15
Mundorf MLGO25-22000,Mundorf MLGO25-22000 | 22000 µF | 20% | 25 V,22000.0,20.0,25.0,Film Capacitor,https://www.soundimports.eu/en/mundorf-mlgo25-22000.html,23.1
Mundorf MLGO40-22000,Mundorf MLGO40-22000 | 22000 µF | 20% | 40 V,22000.0,20.0,40.0,Film Capacitor,https://www.soundimports.eu/en/mundorf-mlgo40-22000.html,32.19
Mundorf MLGO63-22000,Mundorf MLGO63-22000 | 22000 µF | 20% | 63 V,22000.0,20.0,63.0,Film Capacitor,https://www.soundimports.eu/en/mundorf-mlgo63-22000.html,39.63
Mundorf MLGO+63-22000,Mundorf MLGO+63-22000 | 22000 µF | 20% | 63 V,22000.0,20.0,63.0,Film Capacitor,https://www.soundimports.eu/en/mundorf-mlgo63-22000-161850671.html,43.76
Mundorf MLHC80-22000,Mundorf MLHC80-22000 | 22000 µF | 20% | 80 V,22000.0,20.0,80.0,Film Capacitor,https://www.soundimports.eu/en/mundorf-mlhc80-22000.html,90.87
Mundorf MLGO40-33000,Mundorf MLGO40-33000 | 33000 µF | 20% | 40 V,33000.0,20.0,40.0,Film Capacitor,https://www.soundimports.eu/en/mundorf-mlgo40-33000.html,35.5
Mundorf MLGO+40-33000,Mundorf MLGO+40-33000 | 33000 µF | 20% | 40 V,33000.0,20.0,40.0,Film Capacitor,https://www.soundimports.eu/en/mundorf-mlgo40-33000-161850672.html,37.15
Mundorf MLHC100-33000,Mundorf MLHC100-33000 | 33000 µF | 20% | 100 V,33000.0,20.0,100.0,Film Capacitor,https://www.soundimports.eu/en/mundorf-mlhc100-33000.html,156.98
Mundorf MLGO25-47000,Mundorf MLGO25-47000 | 47000 µF | 20% | 25 V,47000.0,20.0,25.0,Film Capacitor,https://www.soundimports.eu/en/mundorf-mlgo25-47000.html,39.63
Mundorf MLGO+25-47000,Mundorf MLGO+25-47000 | 47000 µF | 20% | 25 V,47000.0,20.0,25.0,Film Capacitor,https://www.soundimports.eu/en/mundorf-mlgo25-47000-161850673.html,43.76
Mundorf MLHC80-47000,Mundorf MLHC80-47000 | 47000 µF | 20% | 80 V,47000.0,20.0,80.0,Film Capacitor,https://www.soundimports.eu/en/mundorf-mlhc80-47000.html,165.25
027-450,Dayton Audio DFFC-0.01 0.01uF 400V By-Pass Capacitor,0.01,5.0,400.0,Film and Foil,https://www.parts-express.com/Dayton-Audio-DFFC-0.01-0.01uF-400V-By-Pass-Capacitor-027-450,1.39
027-100,Audyn Cap Q4 0.01uF 400V MKP Foil Capacitor,0.01,5.0,400.0,Metalized Polypropylene,https://www.parts-express.com/Audyn-Cap-Q4-0.01uF-400V-MKP-Foil-Capacitor-027-100,2.36
